,TSLA,GOOGL
0,AUTOS These 2 EV Stocks Look Like Buys. Why Tesla Is a Better Bet.,WARREN BUFFETT How Warren Buffett Could Prevent a Breakup of Berkshire Hathaway After He Dies
1,AUTOS Tesla Gets Good News From China. Stock Is Forming a Bottom.,‘It was not sustainable or real’: Tech layoffs approach Great Recession levels
2,"Elon Musk’s Twitter ‘involvement’ was bad for Tesla, Morgan Stanley survey says",Deepfake ad of Mark Zuckerberg praises Congress for inaction on antitrust legislation
3,AUTOS XPeng’s Results Miss Forecasts but Guidance Offers Hope. The Stock Is Soaring.,Alphabet stock price target cut to $135 from $140 at Mizuho
4,Competitors chip away at Tesla’s share of U.S. EV market,Alphabet Inc. Cl A stock underperforms Tuesday when compared to competitors
5,"Tesla Inc. stock falls Tuesday, underperforms market",Helbiz: Wheels Scooters Integrated With Google Maps
6,AUTOS Tesla Stock Keeps Falling. Even Some Bears Think It’s Dropped Enough.,Tech hiring is slowing down — these two charts explain how and why
7,MEDIA Snap Wants People Back in the Office. It’s Betting on Being Together.,"FTC, 7 states settle with Google and iHeartMedia over misleading ads"
8,"Largest cryptocurrencies climb on Dogecoin, Litecoin increases","After outcry, U.K. drops language for tech companies to remove ‘legal but harmful’ content from online safety bill"
9,"Tesla Inc. stock rises Monday, outperforms market",Alphabet Inc. Cl A stock outperforms competitors despite losses on the day
10,Largest cryptocurrencies fall as Dogecoin drops,Elon Musk claims Apple is threatening to remove Twitter from its App Store
11,AUTOS A Tesla Bull Still Likes Internal Combustion Engine and Hybrid Car Technology,Icad Rises on Google Health Development Deal
12,CRYPTOCURRENCIES Why Is Dogecoin and Shiba Inu Tumbling? The ‘Memecoin’ Rally Couldn’t Last.,TECHNOLOGY Quantum Computing Will Change the World. How to Play the Stocks.
13,OPINION Why inequality is growing in the U.S. and around the world,"COMPANIES Alphabet and Pfizer Stock Look Like Buys, Says This Longtime Market Maven"
14,AUTOS XPeng Stock Gets Another Downgrade. It’s Becoming More Controversial Than Tesla.,Alphabet Inc. Cl A stock outperforms market on strong trading day
15,Why GM dealers are quietly repairing Teslas,"Google, HP, Amazon, Cisco, Roku, Meta, Twitter, Intel: Here are the companies in the layoffs spotlight."
16,AUTOS Elon Musk Email Was Old News. He Still Likes His Advice for Managers.,"Google looks to shed 10,000 ‘poor performing’ workers: report"
17,"Dow notches highest close since April, S&P 500 ends marginally lower but holds above 4,000",U.K. regulator opens probe into Apple and Google mobile browsers
18,BARRON'S Does Tesla Need a Partner to Reach Its Big Ambitions?,"UK Regulator Opens Cloud Gaming, Browsers Probe After Reports of Apple, Alphabet Duopoly"
19,BARRON'S Tesla’s New Feature? Charging for ‘Fill-Ups’,TECHNOLOGY Google Unveiled Its New Home Hub But It Might Be ‘Late to the Market’
20,25 Stocks to Sell Before They Die,Alphabet To $135? Here Are 10 Other Price Target Changes For Wednesday
21,"iPhone Pro Shipments May Miss Consensus, Tesla Rival Charts Ambitious Expansion Plan In Mexico, Amazon Cloud Unit To Add More Employees: Top Stories Wednesday, Nov. 30",2 Robinhood Stocks With Market-Beating Potential
22,Auto Roundup: GM's EV Push in China & F's Massive Recall Hog the Limelight,Get Ready for Twitter Apple Beef! Why Elon Musk Is Fighting Mad.
23,"Tesla Deserves Higher Valuation For 'Optionality Value,' Says Analyst — Highlights These Revenue Drivers",Is GOOG Stock About to Turn a Corner? Not So Fast
24,"Elon Musk Says Fed Needs To Cut Interest Rates 'Immediately,' Flashes 'Severe Recession' Warning","Jim Simons Buys 1, Sells 4 in 3rd Quarter"
25,Ford and GM Are Going Green. 1 Under-the-Radar Way Investors Can Benefit.,Why Is ROKU Stock Down Today?
26,XPeng Shares Pop Post Q3 Results; Registers 19% Revenue Growth,A Closer Look at Buffett's Taiwan Semiconductor Investment
27,"Tesla Owners, You Can Now Buy Wall Connector Home Charger At This Online Shop — They Have Financing Plans Too",3 Cheap Stocks to Buy Right Now
28,Tesla Analyst Says Risk-Reward On The Stock Is More Balanced Now But...,Google Sued Over Paying Radio Hosts To Promote Pixel 4 — Even Though They Hadn't Used The Phone
29,"Tesla Rival Charts Ambitious Expansion Plan In Mexico, Eyes 10% Market Share, Says Report","Google Reportedly Testing Gmail, Calendar Apps On Wear OS, Pixel Watch — Big Update On The Way?"
30,Elon Musk Throws Shade At Henrik Fisker Over Something He Did To Tesla 15 Years Ago: 'Karma Is A ...',Alphabet Unusual Options Activity For November 28
31,"Tesla's US Market Dominance In EVs Is Being Challenged, New Study Shows",Yahoo Sends Taboola (TBLA) Stock Up 60%
32,What's Going On With Tesla Stock?,2 FAANG Stocks to Buy Now
33,7 Bullseye Stock Picks for Your 2023 Must-Buy List,Google Pixel Watch LTE Is Finally On A Discount — Save $50 On Cyber Monday
34,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,Will the Nasdaq or S&P 500 Have a Better 2023?
35,"Jim Simons Buys 1, Sells 4 in 3rd Quarter","Xi Jinping Faces Protests, Doge Tops 10 Cents, Elon Musk's 'Alternative Phone' And More: 5 Key Stories You May Have Missed From The Weekend"
36,"EXCLUSIVE: Wait, DodgeCoin Or Dogecoin? Many Americans Don't Know The Difference",Better Buy: Google vs. Meta Platforms
37,What One of the World's Biggest Banks Thinks About Crypto and the FTX Fiasco,1 No-Brainer Stock to Buy Right Now for Less Than $100
38,Why Polestar (PSNY) Stock Is Rebounding After 13% Plunge,2 Stocks Down 50% and 83% to Buy Right Now
39,Why Are Chinese EV Stocks Up Today?,"Here's What Elon Musk Plans To Do If Twitter Is Removed From Apple, Google Stores"
40,CHINA China Scrambles to Stop Record Covid Cases. What’s at Stake for U.S. Companies.,Charities funded by Sam Bankman-Fried may be asked to return donations and this chart explains how and why tech hiring is slowing down
41,Elon Musk has ‘no mercy’ for Alex Jones and won’t reinstate his Twitter account,"What does ‘free speech’ actually mean? Twitter was never censoring speech, despite what Elon Musk and some users have said"
42,"AUTOS Ford Recalls 518,993 Vehicles in the U.S. Due to Fire Risk",TECHNOLOGY Apple Stock Isn’t Recession Proof. Why It Could Have a Tough Time.
43,Largest cryptocurrencies mixed as Dogecoin rises,ACTIVIST INVESTING Activist Investors Zero In on Big Tech’s Stumble
44,Tesla reaches milestone on autopilot efforts,"‘I don’t have the faintest idea what Google has on me’: Google fell short on privacy promises, employees say."
45,"Tesla stock climbs, shrugging off recall of about 80,000 cars in China",Marissa Mayer wants to know: ‘Why is the web getting worse?’ 
46,"AUTOS Tesla Recalls 80,000 Vehicles in China. Why That’s Not a Big Deal.","MARKETS Jobless Claims Fall Despite Amazon, Tech Layoffs. How to Play the Contradiction."
47,"TECHNOLOGY Twitter to Launch New Verification System, Reinstate Accounts",Venture capital investors see an ‘R’ word coming for tech — and it isn’t just recession
48,"Tesla supercharging prices reduced in several regions, report says",WARREN BUFFETT Did Warren Buffett Make the Taiwan Semi Call? It’s Not Clear.
49,MARKETS The Fed Is Watching Black Friday. It Needs to Shop for More Data.,"Google must ‘take aggressive action’ to slash expenses, activist investor says"
50,"Tesla to recall about 80,000 cars in China, regulator says",Stock Splits Are Big This Year. Here's What They Mean for Investors.
51,Tesla Inc. stock outperforms market on strong trading day,"TECHNOLOGY Alphabet Has Too Many Employees and Must Take ‘Aggressive Action’ to Cut Costs, Activist Says"
52,"AUTOS A Tesla Bull Says Musk Is ‘Digging a Deeper Hole’ at Twitter. For Now, EV Sales Might Not Matter.",Amazon heads for 3rd-straight day with trillion-dollar valuation
53,Tesla rallies as one of the stock’s few bears raises his rating,Mark Cuban says buying metaverse real estate is ‘the dumbest shit ever’
54,Tesla upgraded to neutral from sell at Citi,Amazon has launched a cost-cutting review focused on unprofitable business units
55,"Most large cryptocurrencies rise on Litecoin, Bitcoin Cash increases",TECHNOLOGY Meta Is Spending Like an Oil Company. That Needs to Stop.
56,"Do your relatives pick fights over climate change? Push back with investment tips, says Morningstar panel.",AUTOS How Google and Renault’s Expanded Auto Deal Could Change the Industry
57,"Retirement stock plans — and increasingly, 401(k)s — can use ESG scrutiny: Labor Department",TECHNOLOGY 5 Predictions for Tech Stocks if Republicans Take Control of Congress on Election Day
58,"MARKETS Premarket Movers: Autodesk, Ionis Pharmaceuticals, Deere",Apple and Google stocks just had their worst week in more than two years
59,AUTOS Tesla Investors Get Good News. It’s a Value Stock.,BARRON'S Internet Stocks: Q1 Results Look Good for These 5 Companies
60,The luxury cars buyers look for most,TECHNOLOGY Twitter Is Now Filled With Tweets From the Company’s Laid Off Staff
61,"AUTOS Tesla Stock Has Cost Musk $200 Billion. Here’s Who, and What, to Blame.",TECHNOLOGY Elon Musk Cites a ‘Massive Drop’ in Twitter Revenue as Questions About Business Mount
62,AUTOS Why It’s Possible for Tesla Stock to Hit $100,"CORRECTED Apple now valued at more than Amazon, Alphabet and Meta — combined"
63,U.S. stocks finish lower as China COVID-19 fears resurface,TECHNOLOGY Apple and Other Big Tech Stocks Have Been Hammered. They Could Have ‘Further to Fall.’
64,"Tesla stock at two-year low, other EV-maker shares plunge as concerns simmer about China, oil futures",Roku earnings: What to expect
65,"Tesla stock at two-year low, other EV-maker stocks tank as concerns swirl about China, oil futures","Amazon, Meta and Alphabet now require ‘perfection,’ analyst says in Big Tech ‘autopsy’"
66,"CRYPTOCURRENCIES Bitcoin Plummets Toward $16,000 as FTX Bankruptcy Unfolds",CONSUMER Twitter’s Ad Business Isn’t Worth Tweeting About
